Column A: City,Column B: Country,Column C: Attraction/Service,Column D: Description,Column E: Price Range
Victoria Falls,Zimbabwe,Safari tour,One-day guided tour with wildlife viewing,$80–150
Johannesburg,South Africa,City tour,Cultural & shopping experience,$50–120
Cape Town,South Africa,Table Mountain Cable Car,Scenic mountain views and hiking,$40–80
Cape Town,South Africa,Robben Island Tour,Historical prison tour with Nelson Mandela history,$35–60
Durban,South Africa,Beach Experience,Tropical beaches and water sports,$20–100
Kruger National Park,South Africa,Wildlife Safari,Multi-day safari with Big Five viewing,$200–500 per day
Windhoek,Namibia,Sand Dune Safari,Desert adventure with camel rides,$60–150
Swakopmund,Namibia,Adventure Activities,Sandboarding and skydiving,$80–200
Marrakech,Morocco,Medina Tour,Traditional markets and cultural immersion,$30–80
Cairo,Egypt,Pyrmids of Giza,Ancient wonders with camel rides,$50–120
Luxor,Egypt,Karnak Temple,Ancient Egyptian temples and history,$40–100
Addis Ababa,Ethiopia,National Museum,Cradle of humankind exhibition,$10–30
Lalibela,Ethiopia,Rock-Hewn Churches,UNESCO World Heritage sacred sites,$20–50
Nairobi,Kenya,Nairobi National Park,Urban wildlife safari close to city center,$40–80
Mombasa,Kenya,Coastal Tour,Swahili culture and beach resorts,$60–150
Zanzibar,Tanzania,Stone Town Tour,Historic trading port with spice markets,$30–70
Serengeti,Tanzania,Great Migration Safari,Wildebeest migration viewing,$300–600 per day
Kilimanjaro,Tanzania,Mountain Trekking,World's highest free-standing mountain,$500–1500
Cape Verde,Cape Verde,Island Hopping,Beautiful beaches and volcanic landscapes,$100–300
Accra,Ghana,Cape Coast Castle,Slave trade history and coastal forts,$20–50
Lagos,Nigeria,Nightlife Tour,Vibrant music and food scene,$30–100
Maputo,Mozambique,Beach Resort,Indian Ocean coastal paradise,$80–200
Victoria Falls,Zimbabwe,Helicopter Tour,Aerial views of the waterfall,$200–350
Livingstone,Zambia,Zambezi River Cruise,Sunset dinner cruise,$60–120
Okavango Delta,Botswana,Mokoro Safari,Traditional canoe exploration of delta,$150–300
Chobe National Park,Botswana,Elephant Safari,One of Africa's largest elephant populations,$120–250
