Column A: Buyer Need (Chinese),Column B: Buyer Need (English),Column C: Supplier Product/Service,Column D: Country,Column E: Category (trade/travel)
求购建材,Need building materials,"Cement, bricks, steel",Zimbabwe,trade
找非洲地接,Need Africa local tour guide,"Airport pickup, hotel booking",South Africa,travel
[fill more],[fill more],[fill more],[fill more],[fill more]
,,,,
,,,,
"求购建材，Need building materials,Cement, bricks, steel,Zimbabwe,trade",,,,
"求购手机配件，Need phone accessories,Phone chargers, cables,South Africa,trade",,,,
"求购服装，Need clothes,Men’s and women’s clothing,Zambia,trade",,,,
"找非洲地接，Need local tour guide,Airport pickup, hotel booking,Zimbabwe,travel",,,,
"找 Safari 行程，Need safari tour,Victoria Falls one‑day tour,Zimbabwe,travel",,,,
"找物流服务，Need logistics,Shipping from China to Africa,South Africa,trade",,,,
"求购五金工具，Need hardware tools,Drills, screws, cutters,Zimbabwe,trade",,,,
"求购小家电，Need small electronics,Fans, speakers, bulbs,South Africa,trade",,,,
"找翻译服务，Need translation,Chinese‑English‑Shona,Zimbabwe,trade",,,,
"找仓库出租，Need warehouse,100m² storage,Zimbabwe,trade",,,,
"求购农产品，Need agricultural products,Corn, beans, wheat,South Africa,trade",,,,
"求购化妆品，Need cosmetics,Skincare, makeup,Zambia,trade",,,,
"找租车服务，Need car rental,Toyota, Honda rental,South Africa,travel",,,,
"找摄影服务，Need photography,Wedding, travel shoot,Zimbabwe,travel",,,,
"求购家具，Need furniture,Beds, tables, chairs,South Africa,trade",,,,
"求购医疗器械，Need medical devices,Thermometers, masks,Zimbabwe,trade",,,,
"求购玩具，Need toys,Plastic toys, kids’ items,Zambia,trade",,,,
"找清关代理，Need customs agent,China–Africa customs,Zimbabwe,trade",,,,
"求购建材机械，Need construction machines,Mixers, generators,South Africa,trade",,,,
"找展会服务，Need exhibition booth,Trade fair booth service,Zimbabwe,trade",,,,
"求购包装材料，Need packaging,Bags, boxes, tape,South Africa,trade",,,,
"求购文具，Need stationery,Pens, books, notebooks,Zambia,trade",,,,
"找厨师服务，Need chef,Catering for events,Zimbabwe,travel",,,,
"找安保服务，Need security,Event security,South Africa,travel",,,,
"求购汽车配件，Need car parts,Tires, engines,Zimbabwe,trade",,,,
"求购运动用品，Need sports goods,Shoes, balls,South Africa,trade",,,,
"找广告设计，Need ad design,Logo, poster,Zimbabwe,trade",,,,
"求购母婴用品，Need baby products,Diapers, milk bottles,Zambia,trade",,,,
"找酒店合作，Need hotel partnership,3‑star hotel,Zimbabwe,travel",,,,
"找商铺出租，Need shop rental,Downtown retail space,South Africa,trade",,,,
