Column A: Chinese,Column B: English,Column C: Shona,Column D: Zulu,Column E: Ndebele,Column F: Scene (trade/travel/payment/service)
我要找供应商,I want to find a supplier,Ndiri kutsvaga mutengesi,Ngifuna ukuthola umthengisi,Ndifuna ukuthola umthengisi,trade
这个多少钱,How much is this,Iyi inenge mari zvipi?,Lelilanga imali yini?,Lelilanga imali yini?,trade
我要去酒店,I want to go to the hotel,Ndiri kufamba kune hotel,Nginga ehotel,Nginga ehotel,travel
我用现金支付,I will pay cash,Ndichabhadhara nemari yekunze,Ngizokhokhela ngikhombi,Ngizokhokhela ngikhombi,payment
可以送货吗,When Can you deliver?,Zvinosvika Riini?,Ungathola iwena lihlala nini?,Ungathola iwena lihlala nini?,trade
最低起订量是多少,What’s the minimum order?,Ndoda kutanga nezvishoma?,Iyini iqembu elincane lezokuthenga?,Iyini iqembu elincane lezokuthenga?,trade
我需要清关帮助,I need customs help,Ndiri kuda rubatsiro rwekugadzirisa mitemo,Ngidinga usizo lokuqeda amasipala,Ngidinga usizo lokuqeda amasipala,trade
酒店在哪里,Where is the hotel?,Hotel iri kupi?,Ihotel liphi?,Ihotel liphi?,travel
最近的机场在哪里,Where is the nearest airport?,Ndeapi nhambi dzenyika dziri pedyo?,Lizwi elisondelene lendege liphi?,Lizwi elisondelene lendege liphi?,travel
我要预订机票,I want to book a flight,Ndiri kuda kubhukuza ndege,Ngifuna ukubhukuda indiza,Ngifuna ukubhukuda indiza,travel
你们接受人民币吗,Do you accept RMB?,Munotora mari ye China here?,Ngiyamukela i-RMB na?,Ngiyamukela i-RMB na?,payment
我没有银行卡,I don’t have a bank card,Handina kareti yebhangi,Angikharithi yebhanki,Angikharithi yebhanki,payment
我要兑换货币,I want to exchange money,Ndiri kuda shandura mari,Ngifuna ukushintsha imali,Ngifuna ukushintsha imali,travel
这是合法的吗,Is this legal?,Uyu mutemo wakarongeka here?,Yilona elungile na?,Yilona elungile na?,trade
我要投诉,I want to complain,Ndiri kuda kuzivisa,Ngifuna ukukhumbula,Ngifuna ukukhumbula,service
你们什么时候上班,When are you open?,Munotanga rini?,Nini uvulelwa?,Nini uvulelwa?,service
可以开发票吗,Can you give a receipt?,Munogona kupa raiit?,Ungakhomba irecithi na?,Ungakhomba irecithi na?,payment
我要找导游,I need a tour guide,Ndiri kutsvaga mutungamiriri wechitauro,Ngifuna umthunzi wokuqala,Ngifuna umthunzi wokuqala,travel
货物多久到,How long for delivery?,Kugadzirisa kunotora nguva yakareba?,Ungathola ilizwi elilanda nini?,Ungathola ilizwi elilanda nini?,trade
我要退货,I want to return goods,Ndiri kuda kudzosa zvinogadziriswa,Ngifuna ukubuyisa izinto,Ngifuna ukubuyisa izinto,trade
你会说中文吗,Can you speak Chinese?,Unotaura Chinese here?,Ungakhuluma isichina na?,Ungakhuluma isichina na?,travel
你会说英文吗,Can you speak English?,Unotaura English here?,Ungakhuluma isingisi na?,Ungakhuluma isingisi na?,service
当地安全吗,Is it safe locally?,Nzvimbo inochengetwa here?,Lizwi lezulu liphepha na?,Lizwi lezulu liphepha na?,travel
当地电压多少,What’s the local voltage?,Mota yemagetsi inenge mangani?,I-voltage yasebenza ingakanani?,I-voltage yasebenza ingakanani?,travel
