id,name,country,city,latitude,longitude,description,wikipedia_url,categories,ar_trigger_tags,type
dest_0000,Table Mountain,South Africa,Cape Town,-33.9628,18.4098,"Iconic flat-topped mountain overlooking Cape Town, UNESCO World Heritage Site",,mountain|nature|tourism,ar_table_mountain,tourism_spot
dest_0001,Cape Point,South Africa,Cape Town,-34.3568,18.4928,"Point where Atlantic and Indian Oceans meet, within Table Mountain National Park",,coast|nature|tourism,ar_cape_point,tourism_spot
dest_0002,Kruger National Park,South Africa,Skukuza,-24.0117,31.4858,"World-renowned wildlife reserve with Big Five viewing, one of Africa's largest game reserves",,national_park|safari|wildlife,ar_kruger_national_park,wildlife
dest_0003,Addo Elephant National Park,South Africa,Grahamstown,-33.5278,25.7192,Elephant sanctuary and Big Seven wildlife reserve,,national_park|safari|elephants,ar_addo_elephant_national_park,wildlife
dest_0004,Robben Island,South Africa,Cape Town,-33.8064,18.3664,"Island prison where Nelson Mandela was held, UNESCO World Heritage Site",,heritage|museum|history,ar_robben_island,cultural_heritage
dest_0005,Apartheid Museum,South Africa,Johannesburg,-26.2398,28.0048,Museum documenting South Africa's apartheid era,,museum|history|education,ar_apartheid_museum,cultural_heritage
dest_0006,Great Zimbabwe Ruins,Zimbabwe,Masvingo,-20.2689,31.0456,"Ancient stone ruins of a medieval city, UNESCO World Heritage Site",,ruins|heritage|history,ar_great_zimbabwe_ruins,cultural_heritage
dest_0007,Lake Kariba,Zimbabwe,Kariba,-16.5143,28.8256,"World's largest man-made lake, famous for fishing and houseboating",,lake|tourism|water,ar_lake_kariba,tourism_spot
dest_0008,Victoria Falls Bridge,Zimbabwe,Victoria Falls,-17.9267,25.8622,"Historic bridge spanning the Zambezi River, famous for bungee jumping",,bridge|adventure|tourism,ar_victoria_falls_bridge,tourism_spot
dest_0009,Okavango Delta,Botswana,Maun,-19.5,23.0,"World's largest inland delta, UNESCO World Heritage Site",,delta|wildlife|safari,ar_okavango_delta,wildlife
dest_0010,Chobe National Park,Botswana,Kasane,-18.0,25.0,Home to one of Africa's largest elephant populations,,national_park|safari|elephants,ar_chobe_national_park,wildlife
dest_0011,Sossusvlei,Namibia,Sesriem,-24.7278,15.2872,"Red sand dunes in the Namib Desert, some of the highest in the world",,desert|dunes|nature,ar_sossusvlei,tourism_spot
dest_0012,Etosha National Park,Namibia,Oshikoto,-18.8,15.9,Large salt pan with abundant wildlife viewing,,national_park|safari|salt_pan,ar_etosha_national_park,wildlife
dest_0013,Fish River Canyon,Namibia,Ais-Ais,-27.6,17.6,"Africa's largest canyon, known for hiking trails",,canyon|hiking|nature,ar_fish_river_canyon,tourism_spot
dest_0014,Masai Mara National Reserve,Kenya,Narok,-1.5,35.0,World-famous for the Great Migration of wildebeest and big five game,,reserve|safari|migration,ar_masai_mara_national_reserve,wildlife
dest_0015,Amboseli National Park,Kenya,Kajiado,-2.65,37.25,Large elephant population with Mount Kilimanjaro views,,national_park|safari|elephants,ar_amboseli_national_park,wildlife
dest_0016,Tsavo East National Park,Kenya,Tsavo,-3.0,38.5,One of the world's largest game reserves,,national_park|safari,ar_tsavo_east_national_park,wildlife
dest_0017,Mount Kenya,Kenya,Nyeri,0.1517,37.3078,"Highest mountain in Kenya, UNESCO World Heritage Site",,mountain|climbing|nature,ar_mount_kenya,tourism_spot
dest_0018,Mount Kilimanjaro,Tanzania,Moshi,-3.0758,37.3533,"Africa's highest peak and the world's tallest free-standing mountain, UNESCO World Heritage Site",,mountain|climbing|nature,ar_mount_kilimanjaro,tourism_spot
dest_0019,Serengeti National Park,Tanzania,Mwanza,-2.3333,34.8333,"Famous for the Great Migration of wildebeest and zebra, UNESCO World Heritage Site",,national_park|migration|safari,ar_serengeti_national_park,wildlife
dest_0020,Ngorongoro Crater,Tanzania,Karatu,-3.2481,35.4964,"World's largest inactive volcanic caldera, UNESCO World Heritage Site",,crater|wildlife|safari,ar_ngorongoro_crater,wildlife
dest_0021,Zanzibar Stone Town,Tanzania,Zanzibar City,-6.163,39.2027,"Historic trading port with Swahili architecture, UNESCO World Heritage Site",,town|heritage|history,ar_zanzibar_stone_town,cultural_heritage
dest_0022,Bwindi Impenetrable Forest,Uganda,Kisoro,-1.05,29.65,UNESCO World Heritage Site famous for mountain gorillas,,forest|gorillas|nature,ar_bwindi_impenetrable_forest,wildlife
dest_0023,Volcanoes National Park,Rwanda,Ruhengeri,-1.5,29.5,"Mountain gorilla conservation, part of Virunga Mountains",,national_park|gorillas|volcanoes,ar_volcanoes_national_park,wildlife
dest_0024,Lake Victoria,Uganda,Entebbe,0.0,33.0,"Africa's largest lake, source of the White Nile",,lake|water|tourism,ar_lake_victoria,tourism_spot
dest_0025,Lalibela Rock-Hewn Churches,Ethiopia,Lalibela,12.0333,39.0333,"Eleven medieval monolithic churches carved from solid rock, UNESCO World Heritage Site",,church|heritage|history,ar_lalibela_rock-hewn_churches,cultural_heritage
dest_0026,Simien Mountains National Park,Ethiopia,Gondar,13.2,38.2,UNESCO World Heritage Site with stunning mountain landscapes,,mountain|national_park|nature,ar_simien_mountains_national_park,tourism_spot
dest_0027,Blue Nile Falls,Ethiopia,Bahir Dar,11.5,37.5,Spectacular waterfalls on the Blue Nile River,,waterfall|nature|tourism,ar_blue_nile_falls,tourism_spot
dest_0028,Great Pyramids of Giza,Egypt,Giza,29.9792,31.1342,"Ancient wonder of the world, UNESCO World Heritage Site",,pyramid|history|heritage,ar_great_pyramids_of_giza,cultural_heritage
dest_0029,Karnak Temple,Egypt,Luxor,25.7194,32.6581,"Ancient Egyptian temple complex, UNESCO World Heritage Site",,temple|history|heritage,ar_karnak_temple,cultural_heritage
dest_0030,Valley of the Kings,Egypt,Luxor,25.7419,32.6,"Burial place of New Kingdom pharaohs, UNESCO World Heritage Site",,tomb|history|heritage,ar_valley_of_the_kings,cultural_heritage
dest_0031,Abu Simbel Temples,Egypt,Abu Simbel,22.3375,31.6258,"Two massive rock-cut temples, UNESCO World Heritage Site",,temple|heritage|history,ar_abu_simbel_temples,cultural_heritage
dest_0032,Marrakech Medina,Morocco,Marrakech,31.6295,-7.9811,"Historic walled city with souks and palaces, UNESCO World Heritage Site",,medina|heritage|market,ar_marrakech_medina,cultural_heritage
dest_0033,Jemaa el-Fnaa,Morocco,Marrakech,31.625,-7.9911,"Famous square and market place in Marrakech, UNESCO Intangible Cultural Heritage",,market|entertainment|culture,ar_jemaa_el-fnaa,marketplace
dest_0034,Hassan II Mosque,Morocco,Casablanca,33.6086,-7.633,One of Africa's largest mosques,,mosque|architecture|religion,ar_hassan_ii_mosque,cultural_heritage
dest_0035,Carthage Ruins,Tunisia,Carthage,36.8531,10.3228,"Ancient Phoenician and Roman city, UNESCO World Heritage Site",,ruins|heritage|history,ar_carthage_ruins,cultural_heritage
dest_0036,Sahara Desert - Douz,Tunisia,Douz,33.45,9.02,Gateway to the Sahara Desert with camel trekking,,desert|sahara|adventure,ar_sahara_desert_-_douz,tourism_spot
dest_0037,Olumo Rock,Nigeria,Abeokuta,7.15,3.35,Historic granite rock with sacred significance,,rock|history|tourism,ar_olumo_rock,tourism_spot
dest_0038,Yankari Game Reserve,Nigeria,Bauchi,9.75,10.5,Largest wildlife park in Nigeria with elephants and lions,,reserve|safari|wildlife,ar_yankari_game_reserve,wildlife
dest_0039,Lekki Conservation Centre,Nigeria,Lagos,6.45,3.6,Longest canopy walkway in Africa,,nature|walkway|conservation,ar_lekki_conservation_centre,tourism_spot
dest_0040,Kakum National Park,Ghana,Cape Coast,5.35,-1.45,Tropical forest with famous canopy walk,,forest|nature|conservation,ar_kakum_national_park,tourism_spot
dest_0041,Cape Coast Castle,Ghana,Cape Coast,5.1083,-1.245,"Historic slave trade castle, UNESCO World Heritage Site",,castle|heritage|history,ar_cape_coast_castle,cultural_heritage
dest_0042,Elmina Castle,Ghana,Elmina,5.0833,-1.35,"Oldest European building in sub-Saharan Africa, UNESCO World Heritage Site",,castle|heritage|history,ar_elmina_castle,cultural_heritage
dest_0043,Basilique de Notre-Dame de la Paix,Côte d'Ivoire,Yamoussoukro,6.8333,-5.2833,One of the world's largest Christian churches,,church|architecture|religion,ar_basilique_de_notre-dame_de_la_paix,cultural_heritage
dest_0044,Gorée Island,Senegal,Dakar,14.6667,-17.4,"Historic island linked to Atlantic slave trade, UNESCO World Heritage Site",,island|heritage|history,ar_gorée_island,cultural_heritage
dest_0045,Pink Lake (Lac Rose),Senegal,Dakar,14.8333,-17.2333,Pink-colored salt lake,,lake|nature|salt,ar_pink_lake_(lac_rose),tourism_spot
dest_0046,Bazaruto Archipelago,Mozambique,Vilanculos,-21.6,35.5,Tropical islands with crystal-clear waters,,islands|beach|diving,ar_bazaruto_archipelago,tourism_spot
dest_0047,Madagascar Tsingy de Bemaraha,Madagascar,Bemaraha,-18.8,44.6,"Unique limestone formations, UNESCO World Heritage Site",,nature|rock|national_park,ar_madagascar_tsingy_de_bemaraha,tourism_spot
dest_0048,Avenue of the Baobabs,Madagascar,Morondava,-20.25,44.4167,Famous row of ancient baobab trees,,trees|nature|iconic,ar_avenue_of_the_baobabs,tourism_spot
dest_0049,Virunga National Park,DR Congo,Goma,-0.9,29.3,"Africa's oldest national park, UNESCO World Heritage Site with mountain gorillas and active volcanoes",,national_park|volcano|gorillas,ar_virunga_national_park,wildlife
dest_0050,Mount Nyiragongo,DR Congo,Goma,-1.5212,29.25,Active volcano with one of the world's largest lava lakes,,volcano|nature|adventure,ar_mount_nyiragongo,tourism_spot
market_cape_town,Cape Town Central Market,South Africa,Cape Town,-33.9249,18.4241,"Vibrant local market in Cape Town featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_cape_town,marketplace
tour_cape_town,Cape Town City Tour,South Africa,Cape Town,-33.9239,18.4251,Cultural and historical tour of Cape Town,,tour|city|culture,ar_tour_cape_town,tourism_spot
market_johannesburg,Johannesburg Central Market,South Africa,Johannesburg,-26.2041,28.0473,"Vibrant local market in Johannesburg featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_johannesburg,marketplace
tour_johannesburg,Johannesburg City Tour,South Africa,Johannesburg,-26.2031,28.0483,Cultural and historical tour of Johannesburg,,tour|city|culture,ar_tour_johannesburg,tourism_spot
market_durban,Durban Central Market,South Africa,Durban,-29.8587,31.0218,"Vibrant local market in Durban featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_durban,marketplace
tour_durban,Durban City Tour,South Africa,Durban,-29.857699999999998,31.0228,Cultural and historical tour of Durban,,tour|city|culture,ar_tour_durban,tourism_spot
accom_durban,Durban Grand Hotel,South Africa,Durban,-29.8597,31.020799999999998,Top-rated accommodation in Durban with local charm,,hotel|accommodation|travel,ar_hotel_durban,accommodation
market_maputo,Maputo Central Market,Mozambique,Maputo,-25.9662,32.5838,"Vibrant local market in Maputo featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_maputo,marketplace
market_harare,Harare Central Market,Zimbabwe,Harare,-17.8252,31.0335,"Vibrant local market in Harare featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_harare,marketplace
tour_harare,Harare City Tour,Zimbabwe,Harare,-17.824199999999998,31.0345,Cultural and historical tour of Harare,,tour|city|culture,ar_tour_harare,tourism_spot
market_lusaka,Lusaka Central Market,Zambia,Lusaka,-15.3875,28.3228,"Vibrant local market in Lusaka featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_lusaka,marketplace
tour_lusaka,Lusaka City Tour,Zambia,Lusaka,-15.3865,28.323800000000002,Cultural and historical tour of Lusaka,,tour|city|culture,ar_tour_lusaka,tourism_spot
accom_lusaka,Lusaka Grand Hotel,Zambia,Lusaka,-15.388499999999999,28.3218,Top-rated accommodation in Lusaka with local charm,,hotel|accommodation|travel,ar_hotel_lusaka,accommodation
market_gaborone,Gaborone Central Market,Botswana,Gaborone,-24.6575,25.9175,"Vibrant local market in Gaborone featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_gaborone,marketplace
market_windhoek,Windhoek Central Market,Namibia,Windhoek,-22.57,17.0836,"Vibrant local market in Windhoek featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_windhoek,marketplace
tour_windhoek,Windhoek City Tour,Namibia,Windhoek,-22.569,17.084600000000002,Cultural and historical tour of Windhoek,,tour|city|culture,ar_tour_windhoek,tourism_spot
market_nairobi,Nairobi Central Market,Kenya,Nairobi,-1.2921,36.8219,"Vibrant local market in Nairobi featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_nairobi,marketplace
tour_nairobi,Nairobi City Tour,Kenya,Nairobi,-1.2911000000000001,36.8229,Cultural and historical tour of Nairobi,,tour|city|culture,ar_tour_nairobi,tourism_spot
accom_nairobi,Nairobi Grand Hotel,Kenya,Nairobi,-1.2931,36.8209,Top-rated accommodation in Nairobi with local charm,,hotel|accommodation|travel,ar_hotel_nairobi,accommodation
market_mombasa,Mombasa Central Market,Kenya,Mombasa,-4.0435,39.6682,"Vibrant local market in Mombasa featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_mombasa,marketplace
market_dar_es_salaam,Dar es Salaam Central Market,Tanzania,Dar es Salaam,-6.7924,39.2083,"Vibrant local market in Dar es Salaam featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_dar_es_salaam,marketplace
tour_dar_es_salaam,Dar es Salaam City Tour,Tanzania,Dar es Salaam,-6.791399999999999,39.2093,Cultural and historical tour of Dar es Salaam,,tour|city|culture,ar_tour_dar_es_salaam,tourism_spot
market_arusha,Arusha Central Market,Tanzania,Arusha,-3.3869,36.683,"Vibrant local market in Arusha featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_arusha,marketplace
tour_arusha,Arusha City Tour,Tanzania,Arusha,-3.3859,36.684,Cultural and historical tour of Arusha,,tour|city|culture,ar_tour_arusha,tourism_spot
accom_arusha,Arusha Grand Hotel,Tanzania,Arusha,-3.3878999999999997,36.682,Top-rated accommodation in Arusha with local charm,,hotel|accommodation|travel,ar_hotel_arusha,accommodation
market_kampala,Kampala Central Market,Uganda,Kampala,0.3476,32.5825,"Vibrant local market in Kampala featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_kampala,marketplace
market_kigali,Kigali Central Market,Rwanda,Kigali,-1.9441,30.0619,"Vibrant local market in Kigali featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_kigali,marketplace
tour_kigali,Kigali City Tour,Rwanda,Kigali,-1.9431,30.062900000000003,Cultural and historical tour of Kigali,,tour|city|culture,ar_tour_kigali,tourism_spot
market_addis_ababa,Addis Ababa Central Market,Ethiopia,Addis Ababa,9.03,38.74,"Vibrant local market in Addis Ababa featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_addis_ababa,marketplace
tour_addis_ababa,Addis Ababa City Tour,Ethiopia,Addis Ababa,9.030999999999999,38.741,Cultural and historical tour of Addis Ababa,,tour|city|culture,ar_tour_addis_ababa,tourism_spot
accom_addis_ababa,Addis Ababa Grand Hotel,Ethiopia,Addis Ababa,9.029,38.739000000000004,Top-rated accommodation in Addis Ababa with local charm,,hotel|accommodation|travel,ar_hotel_addis_ababa,accommodation
market_cairo,Cairo Central Market,Egypt,Cairo,30.0444,31.2357,"Vibrant local market in Cairo featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_cairo,marketplace
