Column A: Question,Column B: Answer,Column C: Country
从中国出口到津巴布韦需要什么文件？,"Customs declaration, invoice, packing list",Zimbabwe
非洲清关一般需要多久？,3–7 working days,Southern Africa
[fill more],[fill more],[fill more]
,,
"从中国出口到津巴布韦需要什么文件？,Customs declaration, invoice, packing list,Zimbabwe",,
"非洲清关一般需要多久？,3–7 working days,Southern Africa",,
"海运从中国到南非要多久？,25–35 days,South Africa",,
"空运从中国到津巴布韦要多久？,5–7 days,Zimbabwe",,
"个人可以进口吗？,Yes, with ID and declaration,Zimbabwe",,
"需要 CE 认证吗？,For electronics, yes,Southern Africa",,
"关税一般多少？,5%–25% depending on product,Zimbabwe",,
"可以拼柜出口吗？,Yes, very common for SMEs,China–Africa",,
"最大进口限制是什么？,Illegal goods and uncertified products,Zimbabwe",,
"需要原产地证吗？,For tax reduction, yes,China–Africa",,
"可以货到付款吗？,Only with trusted local partners,Zimbabwe",,
"如何降低运费？,Use LCL consolidation and group shipping,China–Africa",,
"什么产品最畅销？,Electronics, clothing, building materials,Southern Africa",,
"可以出口食品吗？,Yes, with health certificate,Zimbabwe",,
"可以出口化妆品吗？,Yes, with safety test report,South Africa",,
"当地禁止什么产品？,Drugs, weapons, counterfeit goods,Zimbabwe",,
"如何找可靠货代？,Use local registered companies,Zimbabwe",,
"如何避免清关延误？,Prepare complete documents in advance,Zimbabwe",,
"个人包裹有限制吗？,Yes, weight and value limits,Zimbabwe",,
"贸易旺季是什么时候？,Before Christmas and local holidays,Southern Africa",,
